==== Cards Database ====
Name: Giant, Elixir: 5, Attack: 80, Defence: 30, Health: 120, TripleDraftRole: WinCon, Role: WinCon, Rarity: Rare
Name: HogRider, Elixir: 4, Attack: 80, Defence: 20, Health: 70, TripleDraftRole: WinCon, Role: WinCon, Rarity: Rare
Name: RoyalHogs, Elixir: 5, Attack: 80, Defence: 40, Health: 70, TripleDraftRole: WinCon, Role: WinCon, Rarity: Rare
Name: Golem, Elixir: 8, Attack: 110, Defence: 50, Health: 150, TripleDraftRole: WinCon, Role: WinCon, Rarity: Epic
Name: RoyalGiant, Elixir: 6, Attack: 90, Defence: 30, Health: 100, TripleDraftRole: WinCon, Role: WinCon, Rarity: Common
Name: GoblinBarrel, Elixir: 3, Attack: 60, Defence: 30, Health: 30, TripleDraftRole: WinCon, Role: WinCon, Rarity: Epic
Name: Balloon, Elixir: 5, Attack: 100, Defence: 40, Health: 60, TripleDraftRole: WinCon, Role: WinCon, Rarity: Epic
Name: Graveyard, Elixir: 5, Attack: 90, Defence: 60, Health: 30, TripleDraftRole: WinCon, Role: WinCon, Rarity: Legendary
Name: LavaHound, Elixir: 7, Attack: 80, Defence: 60, Health: 120, TripleDraftRole: WinCon, Role: WinCon, Rarity: Legendary
Name: TheLog, Elixir: 2, Attack: 25, Defence: 35, Health: 0, TripleDraftRole: SmallSpell, Role: SmallSpell, Rarity: Legendary
Name: Arrows, Elixir: 3, Attack: 35, Defence: 45, Health: 0, TripleDraftRole: SmallSpell, Role: SmallSpell, Rarity: Common
Name: Zap, Elixir: 2, Attack: 30, Defence: 30, Health: 0, TripleDraftRole: SmallSpell, Role: SmallSpell, Rarity: Common
Name: GiantSnowball, Elixir: 2, Attack: 30, Defence: 30, Health: 0, TripleDraftRole: SmallSpell, Role: SmallSpell, Rarity: Common
Name: Tornado, Elixir: 3, Attack: 30, Defence: 50, Health: 0, TripleDraftRole: SmallSpell, Role: SmallSpell, Rarity: Epic
Name: BarbarianBarrel, Elixir: 2, Attack: 30, Defence: 40, Health: 20, TripleDraftRole: SmallSpell, Role: SmallSpell, Rarity: Epic
Name: Fireball, Elixir: 4, Attack: 65, Defence: 55, Health: 0, TripleDraftRole: BigSpell, Role: BigSpell, Rarity: Rare
Name: Lightning, Elixir: 6, Attack: 90, Defence: 70, Health: 0, TripleDraftRole: BigSpell, Role: BigSpell, Rarity: Epic
Name: Earthquake, Elixir: 3, Attack: 60, Defence: 20, Health: 0, TripleDraftRole: BigSpell, Role: BigSpell, Rarity: Rare
Name: Poison, Elixir: 4, Attack: 60, Defence: 60, Health: 0, TripleDraftRole: BigSpell, Role: BigSpell, Rarity: Epic
