
=== Player 1 Deck ===
TheLog (2 Elixir, 0Health, 25 Attack, 35 Defence, Legendary SmallSpell, SmallSpell)
CannonCart (5 Elixir, 75Health, 70 Attack, 75 Defence, Epic HeavyTank, TankSupport)
Fireball (4 Elixir, 0Health, 65 Attack, 55 Defence, Rare BigSpell, BigSpell)
Fisherman (3 Elixir, 45Health, 30 Attack, 50 Defence, Legendary MiniTank, MiniTank)
Miner (3 Elixir, 50Health, 45 Attack, 25 Defence, Legendary MiniTank, MiniTank)
Musketeer (4 Elixir, 50Health, 60 Attack, 70 Defence, Rare AntiAir, AntiAir)
IceSpirit (1 Elixir, 15Health, 15 Attack, 35 Defence, Common Distraction, Distraction)
RoyalHogs (5 Elixir, 70Health, 80 Attack, 40 Defence, Rare WinCon, WinCon)

=== Player 2 Deck ===
Wizard (5 Elixir, 50Health, 70 Attack, 80 Defence, Rare AntiAir, AntiAir)
SpearGoblins (2 Elixir, 25Health, 30 Attack, 30 Defence, Common CheapAntiAir, CheapAntiAir)
BossBandit (6 Elixir, 85Health, 85 Attack, 60 Defence, Legendary HeavyTank, TankSupport)
Bats (2 Elixir, 15Health, 30 Attack, 35 Defence, Common CheapAntiAir, CheapAntiAir)
Lightning (6 Elixir, 0Health, 90 Attack, 70 Defence, Epic BigSpell, BigSpell)
Graveyard (5 Elixir, 30Health, 90 Attack, 60 Defence, Legendary WinCon, WinCon)
LavaHound (7 Elixir, 120Health, 80 Attack, 60 Defence, Legendary WinCon, WinCon)
RoyalGiant (6 Elixir, 100Health, 90 Attack, 30 Defence, Common WinCon, WinCon)
